Network,FamilyName,Alias,FamilyRoleOrder,Instance,Obj,Vice,Color,Theme,HQ,FamilyRole,BattlePerk,BattleQuirk,AttackType,Weapon,AttackName,FirstName,LastName,Age,AgeOriginal,JobVenue,JobVenueArea,JobVenueRegion,Race,Residence,SubResidence,Height,Weight,Feet,Band,Role,Occupation,HiddenRole,Archetype,BestPref1,BestPref2,BestPref3,FearType1,FearType2,FearType3,PartnerAlias,PartnerType,PartnerOccupation,PartnerJobLevel
Cunning,Kevin,Max S,2,3,Asc_Max_S,Sloth,Yellow,Corporate Mismanagement,Sales Global Protection,dad,Resourceful,__NULL__,Anti-Aerial,Walking Umbrella,Covered Clause,Max,Steele,27,27,Gilded Razor,Shady Town,Shady District,White,SE District,House_SEDistrict_Max_S,69,180,9,7.5,Shady Town Merchant,Barber,Sightline Shepherd,Umbrella Guardian,LowProfile,InControl,WatchesListens,BeingCaught,BeingCaught,LossStatus,Nia B,Wife,Cafe Barista,4
Cunning,Kevin,Andrew B,2,4,Asc_Andrew_B,Sloth,Yellow,Corporate Mismanagement,Sales Global Protection,dad,Resourceful,Constrained,Charge,Overstuffed Dad-Bag,Emergency Impact,Andrew,Blue,30,30,SGP,Sales Global Protection,SE District,White,SE District,House_SEDistrict_Andrew_B,75,205,12,8,SGP Employee,Junior Financial Auditor,Alibi Router,Office-Lore Router,StartsConversations,OpenPresence,Collaborates,BeingCaught,Judged,Failure,Kaye L,Wife,History Professor,7
Cunning,Kevin,Brock C,2,5,Asc_Brock_C,Sloth,Yellow,Corporate Mismanagement,Sales Global Protection,dad,Resourceful+,Obligated,Charge,Putter Golf Club,Putt to Sleep,Brock,Cooper,38,38,SGP,Sales Global Protection,SE District,White,SE District,House_SEDistrict_Brock_C,70,165,10.5,8,SGP Employee,Senior Claims Analyst,Puttline Witness,Procedural Bloodhound,PlansAhead,LaserFocus,ClearHead,BeingCaught,Failure,LossFreedom,Eliza E,Fiance,Art Director,8
Cunning,Kevin,Ramon N,2,6,Asc_Ramon_N,Sloth,Yellow,Corporate Mismanagement,Sales Global Protection,dad,Resourceful,Apathetic,Low,Company Tablet,Swiping Left,Ramon,Nomar,30,30,SGP,Sales Global Protection,SE District,Latino,SE District,House_SEDistrict_Ramon_N,74,209,9,6.25,SGP Employee,IT Systems Admin,Backwindow Charmer,Saturated Charmer,SmoothTalker,NewExperiences,StealsSpotlight,LossFreedom,LossIdentity,Control,Valerica S,Hookup,Private Wealth Manager,8
Cunning,Kevin,Alex L,2,7,Asc_Alex_L,Sloth,Yellow,Corporate Mismanagement,Sales Global Protection,dad,Resourceful,Disruptive,Anti-Aerial,Compact Pistol,Cease & Descend,Alex,Legend,35,35,SGP,Sales Global Protection,SE District,White,SE District,House_SEDistrict_Alex_L,73,200,12,7.5,SGP Employee,Risk Assessment Spec,Exit Vector,Offshore Liaison,PlansAhead,LowProfile,ClearHead,BeingCaught,Failure,LossSafety,Chloe T,Uncommitted,Hairdresser,3
Cunning,Kevin,Danny S,2,8,Asc_Danny_S,Sloth,Yellow,Corporate Mismanagement,Sales Global Protection,dad,Resourceful,Defiant,Aerial,Tenor Saxophone,Midnight Riff,Danny,Steele,32,32,SGP,Sales Global Protection,SE District,White,SE District,House_SEDistrict_Danny_S,69,185,10.5,7.5,SGP Employee,Project Coordinator,Night Sensor,Corridor Cartographer,SoloRecharge,LowProfile,GoWithFlow,Uncertainty,LossFreedom,LossSafety,Willow R,Hookup,Yoga Instructor,5
Opulence,William,Jay P,3,1,Asc_Jay_P,Lust,Orange,Old Money,Country Ville,grand,Curated,Unsung,Charge,Shelf-Stocker’s Mallet,Inventory Rush,Jay,P,25,25,Dime Time,Lexena Market,N District,Latino,N District,House_NDistrict_Jay_P,71,155,10.25,7.5,Lexena Merchant,Grocery Merchant,City Supply Broker,City Anchor,SmoothTalker,ComfortFirst,LowProfile,Control,LossStatus,Responsibility,Alex C,Fiance,Gallery Owner,7
Opulence,William,Colton C,3,2,Asc_Colton_C,Lust,Orange,Old Money,Country Ville,grand,Curated,__NULL__,Low,Fire Poker,Ember Hook,Colton,Corso,30,30,Country Grill,Country Ville,Country Ville,White,Country Ville,House_CountryVille_Colton_C,72,200,11,6.5,CV Townsfolk,Country Cook,Social Hub Manager,Town Cook,LowProfile,ClearHead,InControl,Mistake,Failure,NotGoodEnough,Danae M,Wife,Head Waitress,5
Opulence,William,Tommy P,3,3,Asc_Tommy_P,Lust,Orange,Old Money,Country Ville,grand,Curated,Enigmatic,Aerial,Pool Cue,Table-Run Drop,Tommy,Parker,24,24,Beach Bar,Beach,NW District,White,SE District,House_SEDistrict_Tommy_P,72,178,12,7,Beach Staff,Beach Bartender,Backbar Listener,City Informant,PlansAhead,InControl,ClearHead,LossFreedom,Failure,BeingCaught,Addison V,Girlfriend,Political Science Professor,7
Opulence,William,Ridge C,3,4,Asc_Ridge_C,Lust,Orange,Old Money,Country Ville,grand,Curated,Constrained,Charge,Expandable Baton,Country Check,Ridge,Crix,32,32,Country Sheriff Office,Country Ville,Country Ville,White,Country Ville,House_CountryVille_Ridge_C,69,185,10,7,CV Townsfolk,Sheriff,County Custodian,Uptight Local Authority,WatchesListens,LowProfile,ChallengeMode,Failure,LossIdentity,Judged,Jenifer J,Wife,City Council Member,6
Opulence,William,Jason S,3,5,Asc_Jason_S,Lust,Orange,Old Money,Country Ville,grand,Curated+,Obligated,Low,Wrench,Bolt Breaker,Jason,Sarcinelli,27,27,Farm,Country Ville,Country Ville,White,Country Ville,House_CountryVille_Jason_S,74,215,12.5,7.5,CV Townsfolk,Operational Commander,Operations Heir,Right Hand,CrowdEnergy,RecognitionDrive,SmoothTalker,Responsibility,Loss of Safety,Responsibility,Eva G,Wife,Sheriff\'s Aide,5
Opulence,William,Juan L,3,6,Asc_Juan_L,Lust,Orange,Old Money,Country Ville,grand,Curated,Apathetic,Anti-Aerial,Pitchfork,Sky-Tine Snare,Juan,Largo,35,35,Farm,Country Ville,Country Ville,Latino,Country Ville,House_CountryVille_Juan_L,72,169,9.5,7.25,CV Townsfolk,Agricultural Lead,Trade Gate Auditor,Watchman of the Fields,ClearHead,LaserFocus,SafeZone,Failure,Failure,LossFamily,Scarlett F,Wife,Waitress,2
Opulence,William,Adam L,3,7,Asc_Adam_L,Lust,Orange,Old Money,Country Ville,grand,Curated,Disruptive,Aerial,Stock Cane,Corral Vault,Adam,Lee,38,38,Farm,Country Ville,Country Ville,White,Country Ville,House_CountryVille_Adam_L,72,225,12,7,CV Townsfolk,Cattle Lead,Clueless Playboy,Head Rancher,Protective,PlansAhead,Collaborates,LossFreedom,LossCredibility,LossFreedom,Serena S,Girlfriend,Vet Assistant,4
Opulence,William,Jmac,3,8,Asc_Jmac,Lust,Orange,Old Money,Country Ville,grand,Curated,Defiant,Anti-Aerial,Acoustic Guitar,Strum Swat,Jmac,,26,26,Country Vet Office,Country Ville,Country Ville,White,Country Ville,House_CountryVille_Jmac_,73,178,10.25,8.25,CV Townsfolk,Town Vet,Livestock Troubadour,Town Vet,HighIntensity,StartsConversations,CrowdEnergy,Failure,LossStatus,Loneliness,Kyler Q,Speculation,Real Estate Heiress,9
Glamour,Sebastian,Cyrus K,4,1,Asc_Cyrus_K,Sloth,Violet,Underworld,Iron Syndicate,uncle,Alluring,Unsung,Aerial,Select-Fire PDW,Backdoor Salute,Cyrus,King,36,36,Guns Storage,Shady Town,Shady District,White,N District,House_NDistrict_Cyrus_K,75,215,12,8.5,Shady Town Merchant,Guns Merchant,Keeper of the Hidden,Quartermaster,InControl,LaserFocus,LowProfile,Mistake,BeingCaught,Control,Madi C,Girlfriend,Manager,6
Glamour,Sebastian,London F,4,2,Asc_London_F,Sloth,Violet,Underworld,Iron Syndicate,uncle,Alluring,Exhausted,Charge,Samurai Sword,Honorable Dismissal,London,Ford,33,33,Uncle's Break Room,Men's Style Journal,NW District,Asian White,SW District,House_SWDistrict_London_F,72,188,10.5,6.5,Mercenary,Bodyguard,Sentinel Trainer,Hidden Sword,ChallengeMode,GuidesOthers,PlansAhead,LossStatus,LossSafety,LossCareer,Sasha T,Partner,Hairdresser,3
Glamour,Sebastian,Ray R,4,3,Asc_Ray_R,Sloth,Violet,Underworld,Iron Syndicate,uncle,Alluring,Enigmatic,Aerial,Ceramic Stiletto,Last Call,Ray,Raven,29,29,Pub Hemlock,Pub Hemlock,N District,White,SW District,House_SWDistrict_Ray_R,76,225,11,6.25,Mercenary,Bartender,Silent Keeper,Night Watchman,KeepsItShort,LowProfile,SameRoutine,BeingCaught,LossStatus,LossFreedom,Ava W,Girlfriend,Lifeguard,3
Glamour,Sebastian,Danny M,4,4,Asc_Danny_M,Sloth,Violet,Underworld,Iron Syndicate,uncle,Alluring,__NULL__,Low,Suppressed Pistol,Off the Feed,Danny,Mountain,26,26,Iron Syndicate,Shady Town,Shady District,White,NW District,House_NWDistrict_Danny_M,76,235,12,8,Mercenary,Surveillance Expert,Infiltration Specialist,Mimic,SameRoutine,SoloRecharge,HighIntensity,Failure,LossStatus,LossFamily,Sadie P,FWB,Copy Editor,5
Glamour,Sebastian,Max C,4,5,Asc_Max_C,Sloth,Violet,Underworld,Iron Syndicate,uncle,Alluring+,Obligated,Anti-Aerial,Twin uzi-style SMGs,Skyhook Counter,Max,Cartel,35,35,Iron Syndicate,Shady Town,Shady District,Latino,NW District,House_NWDistrict_Max_C,70,170,10,8,Mercenary,Tactical Leader,Extraction Leader,Theatrical General,CrowdEnergy,Improvises,StealsSpotlight,Mistake,LossStatus,Responsibility,Asteria J,Girlfriend,Theater Professor,7
Glamour,Sebastian,GI J,4,6,Asc_GI_J,Sloth,Violet,Underworld,Iron Syndicate,uncle,Alluring,Apathetic,Anti-Aerial,MG Sniper Rifle,Long Verdict,GI,Joey,40,40,Iron Syndicate,Shady Town,Shady District,White,NW District,House_NWDistrict_GI_J,73,225,11.5,9,Mercenary,Sniper,Unseen Neutralizer,Apathetic Veteran,KeepsItShort,LaserFocus,SoloRecharge,Health,Uncertainty,NotGoodEnough,Valerica S,Hookup,Private Wealth Manager,8
Glamour,Sebastian,Parker S,4,7,Asc_Parker_S,Sloth,Violet,Underworld,Iron Syndicate,uncle,Alluring,Disruptive,Charge,Twin CF Tonfa,Crossbar,Parker,Savage,24,24,Iron Syndicate,Shady Town,Shady District,White,NW District,House_NWDistrict_Parker_S,68,180,9.5,7.5,Mercenary,Cyber Ops,Signal Controller,Excited Genius,CrowdEnergy,PlayfulDrift,NewExperiences,Control,BeingCaught,NotGoodEnough,Natalie B,Girlfriend,Manager / Merchant,5
Glamour,Sebastian,Thor J,4,8,Asc_Thor_J,Sloth,Violet,Underworld,Iron Syndicate,uncle,Alluring,Defiant,Low,Heavy Demolition Hammer,Breachmaker,Thor,Johnson,28,28,Iron Syndicate,Shady Town,Shady District,White,NW District,House_NWDistrict_Thor_J,71,240,12,8,Mercenary,Demolitions Expert,Demolitions Expert,Heavy,StraightShooter,PlansAhead,ClearHead,Failure,Failure,Health,April O,Uncommitted,Lush Merchant,5
Prominence,Dan,Richard G,5,1,Asc_Richard_G,Pride,Indigo,Tech Development,Digital Dynamo,dan,Dedicated,Unsung,Low,Fastener Driver,The Late Fee,Richard,Glaze,29,29,Magic Tech,Lexena Market,N District,White,N District,House_NDistrict_Richard_G,74,220,11.5,9,Lexena Merchant,Tech Gadget Retailer,Offsite Procurement,Late-Fee Closer,InControl,LowProfile,WatchesListens,Control,LossProperty,BeingCaught,Sandy L,Wife,Senior Interior Architect,7
Prominence,Dan,Tommy W,5,2,Asc_Tommy_W,Pride,Indigo,Tech Development,Digital Dynamo,dan,Dedicated,Exhausted,Aerial,Canister Toss Tool,Restock Arc,Tommy,Wolff,35,35,Dan's Break Room,Digital Dynamo,SW District,White,N District,House_NDistrict_Tommy_W,73,170,10.5,9,DD Staff,Vending Ops Lead,Facilities Svc Coord,Restock Marshal,LowProfile,KeepsItShort,LaserFocus,Control,Responsibility,LossSafety,Serena H,Fiance,Dime Time Merchant,5
Prominence,Dan,Ryan D,5,3,Asc_Ryan_D,Pride,Indigo,Tech Development,Digital Dynamo,dan,Dedicated,Enigmatic,Anti-Aerial,Neon Arnis Sticks,House Rules: Down,Ryan,Driller,26,26,Dance Bar,Dance Bar,N District,White,SW District,House_SWDistrict_Ryan_D,73,210,12,9.25,Dance Bar Staff,Laserbeat Arcade Host,Field Test Ops,House Rules,GoWithFlow,ChillVibes,SoloRecharge,LossCareer,Phobia,LossSecurity,Kylie Q,Wife,Laserbeat Arcade Hostess,2
Prominence,Dan,Oliver F,5,4,Asc_Oliver_F,Pride,Indigo,Tech Development,Digital Dynamo,dan,Dedicated,Constrained,Anti-Aerial,Tether Pucks,Regression Clamp,Oliver,Flynn,32,32,DD,Digital Dynamo,SW District,White,SW District,House_SWDistrict_Oliver_F,72,180,13.5,10,DD Employee,QA Analyst,Prototype Test Lead,Regression Clamp,ClearHead,StraightShooter,PlansAhead,Mistake,Control,LossProperty,Blake B,Partner,Operative - IT Support Specialist,6
Prominence,Dan,Codey S,5,5,Asc_Codey_S,Pride,Indigo,Tech Development,Digital Dynamo,dan,Dedicated+,Obligated,Charge,Kinetic Belt,Ship-It Surge,Codey,Steele,24,24,DD,Digital Dynamo,SW District,White,SW District,House_SWDistrict_Codey_S,70,180,12,7.5,DD Employee,Delivery Manager,Lab Ops Director,Ship-It Surge,Protective,HighIntensity,Competes,Control,Control,LossCredibility,Sidra S,Speculation,Socialite,9
Prominence,Dan,Brick D,5,6,Asc_Brick_D,Pride,Indigo,Tech Development,Digital Dynamo,dan,Dedicated,__NULL__,Charge,Control Shield,Audit Ram,Brick,Danger,30,30,DD,Digital Dynamo,SW District,White,SW District,House_SWDistrict_Brick_D,70,170,10,7.5,DD Employee,Risk and Controls,Sys Design Lead,Audit Wedge,PlansAhead,ClearHead,LowProfile,LossSafety,Unknown,Mistake,Blake B,Partner,Operative - IT Support Specialist,6
Prominence,Dan,Dan D,5,7,Asc_Dan_D,Pride,Indigo,Tech Development,Digital Dynamo,dan,Dedicated,Disruptive,Low,Tripline Spool,The Hotfix,Dan,Damage,22,22,DD,Digital Dynamo,SW District,White,NW District,House_NWDistrict_Dan_D,77,215,12,9,DD Employee,Junior Developer,Prototype Dev Eng,Hotfix Crown,StealsSpotlight,SmoothTalker,RecognitionDrive,Rejection,Mistake,LossStatus,Chloe T,Uncommitted,Hairdresser,3
Prominence,Dan,Sam S,5,8,Asc_Sam_S,Pride,Indigo,Tech Development,Digital Dynamo,dan,Dedicated,Defiant,Aerial,Grapple Line,Perimeter Drop,Sam,Shock,30,30,DD,Digital Dynamo,SW District,White,SW District,House_SWDistrict_Sam_S,74,200,11.5,9.5,DD Employee,Network Security Eng,Sec Clearance Arch,Perimeter Drop,ChaosFriendly,PlayfulDrift,ThrillSeeking,LossSecurity,Responsibility,Loss of Ethics,Blake B,Partner,Operative - IT Support Specialist,6
Imperium,Nick,Logan X,6,1,Asc_Logan_X,Anger,Red,Gang Wars,Fraternity House,nick,Intimidating,Unsung,Anti-Aerial,Erotic Market Paddle,Velvet Gatecheck,Logan,Xander,32,32,Erotic Market,Shady Town,Shady District,White,N District,House_NDistrict_Logan_X,70,170,11,8,Shady Town Merchant,Red-Light Retailer,Leverage Broker,Stained Patriarch,InControl,SmoothTalker,PlansAhead,BeingCaught,Failure,LossSafety,Valerica S,OpenRelationship,Private Wealth Manager,8
Imperium,Nick,Josh R,6,2,Asc_Josh_R,Anger,Red,Gang Wars,Fraternity House,nick,Intimidating,Exhausted,Anti-Aerial,Small Knife,Service-Line Cutoff,Josh,Rivers,23,23,College Cafeteria,Unity College,Central District,White,SW District,House_SWDistrict_Josh_R,74,165,10.25,7.5,Unity Staff,Unity Cafeteria Staff,Ghost Caterer,Borrowed Brother,ComfortFirst,ClearHead,StraightShooter,LossCareer,Responsibility,BeingCaught,Vivianne D,Girlfriend,Sociology Professor,7
Imperium,Nick,Kyle M,6,3,Asc_Kyle_M,Anger,Red,Gang Wars,Fraternity House,nick,Intimidating,Enigmatic,Low,Rescue Can,Undertow Anchor,Kyle,Mason,25,25,Beach,Beach,NW District,White,College Dorm,House_CollegeDorm_Kyle_M,72,190,10,9,Beach Staff,Lifeguard,Tide Guide,Wave-Crowned,WatchesListens,KeepsItShort,LowProfile,LossStatus,LossFreedom,Responsibility,Anna C,FWB,Student,1
Imperium,Nick,Luke C,6,4,Asc_Luke_C,Anger,Red,Gang Wars,Fraternity House,nick,Intimidating,Constrained,Aerial,Wrestling Grip Strap,Mat-Rise Skyturn,Luke,Cooper,23,28,Fraternity House,Fraternity House,Central District,White,Fraternity House,House_FraternityHouse_Luke_C,72,185,10.5,8,Lewor Frat Member,APT Fraternity Member,Bylaw Warden,Code Sentinel,InControl,RecognitionDrive,StraightShooter,Failure,Control,Loss of Control,Brin S,Girlfriend,Student,1
Imperium,Nick,Zack D,6,5,Asc_Zack_D,Anger,Red,Gang Wars,Fraternity House,nick,Intimidating+,Obligated,Aerial,Hand Straps,Roofline Hammerfall,Zack,Dickson,22,27,Fraternity House,Fraternity House,Central District,White,Fraternity House,House_FraternityHouse_Zack_D,74,200,12,7.5,Lewor Frat Member,APT Fraternity Member,Strike Hand,Hardcase,InControl,PlansAhead,LowProfile,Failure,LossProperty,Loss of Status,Violet M,Girlfriend,Student,1
Imperium,Nick,Chase A,6,6,Asc_Chase_A,Anger,Red,Gang Wars,Fraternity House,nick,Intimidating,Apathetic,Charge,Baseball Glove,Exit Clause,Chase,Arcangel,21,26,Fraternity House,Fraternity House,Central District,White,Fraternity House,House_FraternityHouse_Chase_A,72,175,11,8,Unity Frat Member,APT Fraternity Member,Solvent,Exit Clause,Protective,QuietTime,ClearHead,LossFreedom,Responsibility,LossFreedom,Kyler Q,Speculation,Real Estate Heiress,9
Imperium,Nick,Johnny L,6,7,Asc_Johnny_L,Anger,Red,Gang Wars,Fraternity House,nick,Intimidating,Disruptive,Low,Baseball Bat,Afterparty Anklecut,Johnny,Love,23,28,Fraternity House,Fraternity House,Central District,Latino,Fraternity House,House_FraternityHouse_Johnny_L,67,196,9,9,Unity Frat Member,APT Fraternity Member,Spotlight Decoy,Unwelcome,CrowdEnergy,ThrillSeeking,Improvises,Loneliness,LossStatus,Spotlight,Venus V,Girlfriend,Student,1
Imperium,Nick,Ryan L,6,8,Asc_Ryan_L,Anger,Red,Gang Wars,Fraternity House,nick,Intimidating,__NULL__,Charge,Hockey Stick,Forecheck Ram,Ryan,Love,21,24,Fraternity House,Fraternity House,Central District,White,Fraternity House,House_FraternityHouse_Ryan_L,60,265,10,7,Unity Frat Member,APT Fraternity Member,Diversionist,Mischief Enforcer,ComfortFirst,LowProfile,ClearHead,Rejection,LossStatus,BeingCaught,Anna C,Speculation,Student,1
Affluence,Rick,Peter K,7,1,Asc_Peter_K,Greed,Green,College Politics,Unity College,rick,Popular,__NULL__,Aerial,Tailor Scissors,Seam Splitter,Peter,King,35,35,Clothes Shop,Lexena Market,N District,White,N District,House_NDistrict_Peter_K,70,160,10.5,8.5,Lexena Merchant,Luxury Clothier,Access Tailor,Access Architect,ClearHead,LowProfile,PlansAhead,LossStatus,BeingCaught,LossFreedom,Sawyer C,Wife,Urban Planning Professor,7
Affluence,Rick,Eddie D,7,2,Asc_Eddie_D,Greed,Green,College Politics,Unity College,rick,Popular,Exhausted,Charge,Pan-Lid Buckler,Inheritor's Entry,Eddie,Dean,24,32,Culinary Club,Unity College,Central District,Latino,College Dorm,House_CollegeDorm_Eddie_D,65,160,10.25,8,Unity Student,Gastronomy Icon,Silent Standard,Unfootnoted Name,SameRoutine,ClearHead,PlansAhead,Judged,Failure,Control,Valerica S,Unofficial,Private Wealth Manager,8
Affluence,Rick,Criss S,7,3,Asc_Criss_S,Greed,Green,College Politics,Unity College,rick,Popular,Enigmatic,Low,Shotgun,Committee Tripwire,Criss,Simon,38,38,College Principal Office,Unity College,Central District,White,NW District,House_NWDistrict_Criss_S,73,175,11,8.25,Unity Executive,Unity Principal,Polished Shark,Standards Warden,CrowdEnergy,HighIntensity,Improvises,BeingCaught,LossStatus,Control,Kyler Q,Partner,Real Estate Heiress,9
Affluence,Rick,Filthy R,7,4,Asc_Filthy_R,Greed,Green,College Politics,Unity College,rick,Popular,Constrained,Anti-Aerial,Laptop,Ledger Hook,Filthy,Rich,40,40,College Treasury Office,Unity College,Central District,White,NW District,House_NWDistrict_Filthy_R,71,165,10.5,8.5,Unity Executive,Unity Treasurer,Loan Shark,Ledger Warden,LaserFocus,ClearHead,KeepsItShort,LossStatus,Responsibility,Failure,Sidra S,Wife,Socialite,9
Affluence,Rick,Kai J,7,5,Asc_Kai_J,Greed,Green,College Politics,Unity College,rick,Popular+,Obligated,Aerial,Microphone Stand,Spotlight Meteor,Kai,Jaxon,21,24,Music Club,Unity College,Central District,White,College Dorm,House_CollegeDorm_Kai_J,72,175,11.5,8,Unity Student,Conservatory Icon,Vanished Icon,Spotlight Seeker,Collaborates,GuidesOthers,ChallengeMode,Responsibility,Failure,Spotlight,Eva N,Girlfriend,Unity Student,1
Affluence,Rick,Matty I,7,6,Asc_Matty_I,Greed,Green,College Politics,Unity College,rick,Popular,Apathetic,Low,Acid Flask,Corrosion Line,Matty,Icee,23,29,Chemistry Club,Unity College,Central District,White,College Dorm,House_CollegeDorm_Matty_I,72,165,12,7,Unity Student,Molecular Lead,Citation King,Receipt Keeper,InControl,ClearHead,StraightShooter,NotGoodEnough,LossStatus,LossCareer,Krissy K,Girlfriend,Unity Student,1
Affluence,Rick,Jodie J,7,7,Asc_Jodie_J,Greed,Green,College Politics,Unity College,rick,Popular,Disruptive,Anti-Aerial,Spray Paint,Updraft Tag,Jodie,Johnson,22,27,Art Club,Unity College,Central District,White,College Dorm,House_CollegeDorm_Jodie_J,72,135,10,7.5,Unity Student,Curation Lead,Frame Cutter,Narrative Editor,ChallengeMode,LaserFocus,LowProfile,LossStatus,Control,Judged,Charlotte M,Girlfriend,Unity Student,1
Affluence,Rick,Apollo B,7,8,Asc_Apollo_B,Greed,Green,College Politics,Unity College,rick,Popular,Defiant,Charge,Megaphone,Megaphone Drive,Apollo,Banks,24,35,Herbology Club,Unity College,Central District,Latino,College Dorm,House_CollegeDorm_Apollo_B,70,145,9.5,8,Unity Student,Pharmacognosy Icon,Night Marshal,Event Gate,Protective,ClearHead,PlansAhead,LossFamily,LossFreedom,LossFamily,Braylin B,Girlfriend,Unity Student,1
